,latitud,longitud
410,-2.18808143943224,-79.8931682109833
411,-2.18816184703097,-79.8928999900818
412,-2.18826369664985,-79.8925942182541
413,-2.18836018575609,-79.8922884464264
414,-2.18845667485612,-79.8920255899429
415,-2.18853172192963,-79.891859292984
416,-2.18861212950421,-79.8915588855744
417,-2.18869253707448,-79.8913282155991
418,-2.18876222363191,-79.8910546302796
419,-2.18886407321,-79.8907542228699
420,-2.18894984127038,-79.8904752731323
421,-2.18901952781584,-79.8902606964111
422,-2.18912673787946,-79.8899763822556
423,-2.18923394793539,-79.8896169662476
424,-2.18935723949024,-79.8892951011658
425,-2.18671417456222,-79.8972129821777
426,-2.18675973891024,-79.897073507309
427,-2.1868079835125,-79.8969259858132
428,-2.18684818734655,-79.8968106508255
429,-2.18707332879725,-79.8961615562439
430,-2.18714301542991,-79.8959711194039
431,-2.18719662052975,-79.895828962326
432,-2.18723682435337,-79.8956787586212
433,-2.18689643194596,-79.8967033624649
434,-2.18692859501138,-79.8965880274773
435,-2.18696611858683,-79.8964512348175
436,-2.18673293635275,-79.895268380642
437,-2.18728238868552,-79.8955339193344
438,-2.18722878358874,-79.895450770855
439,-2.18675437839878,-79.8953300714493
440,-2.18678118095588,-79.8950108885765
441,-2.18686962939092,-79.8947533965111
442,-2.187030444714,-79.8944798111916
443,-2.18811058718727,-79.8948311805725
444,-2.18674633763155,-79.8948901891709
445,-2.1866498484215,-79.8951879143715
446,-2.18657480125384,-79.8954159021378
447,-2.1864622304953,-79.8957726359368
448,-2.18642470690724,-79.8959147930145
449,-2.18690715296785,-79.8960891366005
450,-2.1869687988422,-79.8960998654366
451,-2.18687498990197,-79.8965907096863
452,-2.18673561660852,-79.8951423168182
453,-2.18712693389958,-79.8945173621178
454,-2.18682674530186,-79.8948660492897
455,-2.18671149430642,-79.897073507309
456,-2.18690179245692,-79.8946434259415
457,-2.1872341440985,-79.894557595253
458,-2.18735743581778,-79.8945870995522
459,-2.18680530325686,-79.8953649401665
460,-2.18649975408242,-79.8959416151047
461,-2.18655871971742,-79.8959657549858
462,-2.18664180765371,-79.895992577076
463,-2.18672757584119,-79.8960247635842
464,-2.18681870453501,-79.8960515856743
465,-2.18694735679924,-79.8963814973831
466,-2.1869098332233,-79.8964807391167
467,-2.18683478606865,-79.8966979980469
468,-2.18681870453501,-79.8967650532723
469,-2.18677850070019,-79.8968803882599
